Berri1,Boyer,CSC,Dame,Parc,PierDup,Ren,Urbain,University,Viger
3474,2291,2296,1219,2900,820,1696,1499,2790,381
2903,1782,1947,923,2465,338,1333,1249,2359,281
2838,1750,1868,924,2463,362,1319,1268,2301,278
2183,1410,1444,669,1803,221,972,1022,1834,232
1057,925,490,255,793,141,340,533,805,76
1231,1197,620,309,933,405,466,593,857,105
2905,1845,1911,1019,2578,619,1361,726,2307,326
3148,1934,1948,1153,2642,483,1542,902,2435,329
2023,743,1380,651,1789,218,902,946,1298,186
2376,304,1643,876,2202,391,1160,1365,1680,200
1984,535,1477,806,1951,453,1077,1025,1551,160
1166,368,584,346,890,576,419,674,665,51
303,99,173,113,255,24,134,230,189,26
400,21,272,107,313,22,234,93,251,63
657,62,364,130,467,21,226,137,299,83
909,308,631,174,697,41,487,390,546,121
789,373,484,193,606,33,524,360,428,96
776,364,431,188,601,42,502,351,510,79
361,330,190,88,275,34,445,235,253,26
480,434,272,144,363,82,655,266,245,35
1291,798,898,475,1243,174,1085,572,944,135
798,436,439,290,683,58,527,376,454,95
1177,595,727,338,931,108,1121,568,725,112
975,496,599,251,872,66,401,517,607,99
993,597,669,262,934,72,651,532,664,98
579,439,234,106,364,37,583,267,300,26
646,498,303,139,377,116,329,267,288,43
546,317,304,157,385,16,224,151,185,63
693,377,347,134,464,12,254,184,245,71
660,354,376,173,407,15,254,282,282,76
836,495,471,203,541,19,390,364,444,105
546,292,164,83,286,9,220,234,162,58
275,185,63,18,142,12,69,135,53,25
238,207,56,28,125,15,71,85,38,17
353,246,91,59,196,1,115,12,47,19
561,308,66,95,267,1,225,9,183,35
559,283,220,132,268,14,201,56,199,50
443,234,203,88,196,5,153,38,163,43
271,159,127,66,138,8,123,33,118,33
127,97,14,8,45,4,40,9,29,12
93,69,6,22,24,6,29,6,25,6
384,162,53,88,169,5,107,1,124,25
460,160,175,93,227,4,143,17,189,46
461,125,223,127,266,11,186,36,190,64
427,101,180,79,204,16,167,37,162,39
274,87,104,56,154,14,128,61,134,26
78,41,28,13,30,5,22,13,31,4
44,24,2,3,11,1,11,9,10,7
53,14,12,11,4,2,21,9,17,6
137,42,30,26,33,8,59,5,40,11
181,55,70,44,68,4,85,16,76,19
120,33,35,18,41,8,53,6,38,14
120,59,2,29,53,3,55,0,68,3
52,26,135,11,12,6,16,17,16,3
